,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,2,0,1,1800000,3600000,4,343,3400000,1100000,6200000,1500000,1
1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,0,0,0,6800000,20800000,20,819,16500000,11900000,26700000,8000000,0
1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,2,0,1,4200000,16800000,2,433,3300000,0,14100000,3700000,0
1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1,0,1,200000,400000,6,768,300000,100000,600000,0,0
1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,2,0,1,8500000,31800000,6,714,17000000,900000,26600000,5600000,0
1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,2,0,1,2800000,10100000,16,531,2900000,2900000,7200000,4100000,1
1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,0,0,1,3600000,8600000,6,529,3500000,3300000,11300000,5200000,1
1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1,0,0,6200000,19500000,20,448,3300000,7100000,22400000,8000000,1
1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1,0,0,2700000,10000000,2,584,6500000,2700000,7700000,3400000,0
1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1,0,0,6800000,22900000,4,501,3900000,9400000,17300000,4400000,0
1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,2,0,0,6300000,24500000,18,848,10200000,3500000,18200000,8200000,0
1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,4,0,0,8800000,19100000,6,586,17600000,8800000,20600000,12400000,0
1077,1077,1077,1077,1077,1077,1077,1077,1077,1077,1077,1077,1077,1077,1077,1077,1,0,0,5900000,13000000,2,386,16300000,5000000,12000000,3800000,1
1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,5,0,1,9800000,37900000,18,301,6700000,4900000,34300000,6200000,1
1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,2,0,0,3300000,8300000,6,653,4700000,3100000,8300000,4600000,0
1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,4,0,1,300000,500000,14,448,700000,100000,800000,100000,1
1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1,0,1,4800000,11600000,16,696,1400000,9400000,11800000,6500000,0
1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1,0,0,7500000,28300000,16,707,9700000,1100000,16300000,6700000,0
1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,2,0,0,8600000,21700000,4,429,5500000,10800000,30900000,6000000,1
1084,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084,4,0,0,8900000,21100000,6,631,4200000,200000,25800000,6200000,0
1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,5,0,1,9600000,29600000,4,446,22900000,3500000,36600000,13200000,0
1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,0,0,1,7700000,18100000,18,705,6100000,5100000,23800000,6300000,0
1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,3,0,1,7000000,15200000,2,709,10300000,12500000,20700000,4000000,0
1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,4,0,1,7800000,19500000,14,739,1900000,9000000,20400000,4400000,0
1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,3,0,0,5100000,11000000,6,336,-100000,5800000,11600000,7500000,1
1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,4,0,0,9400000,32600000,4,898,18200000,4000000,22000000,10200000,0
1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,4,0,1,600000,2100000,6,558,1300000,1000000,2200000,300000,0
1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,3,0,0,5100000,13300000,4,589,11200000,2700000,20200000,6100000,0
1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,2,0,1,3800000,14400000,2,301,2300000,1400000,7600000,2400000,1
1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,2,0,1,5300000,21200000,14,516,2200000,5000000,20900000,7700000,1
1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,5,0,0,1100000,3600000,12,315,1300000,700000,3100000,1400000,1
1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,3,0,0,6400000,14400000,10,546,10600000,10000000,21200000,5100000,1
1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,0,0,1,5100000,14500000,14,559,11000000,1100000,12300000,6000000,0
1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,3,0,1,5300000,16900000,2,350,15800000,3100000,14300000,6800000,0
1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1,0,0,6700000,18700000,8,583,9300000,4100000,17100000,6900000,0
1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,2,0,0,4000000,9400000,8,874,4400000,3700000,10200000,4800000,0
1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,2,0,1,3900000,11600000,8,808,5800000,3100000,12900000,5000000,0
1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1,0,1,1600000,4900000,16,487,4300000,1100000,3900000,2000000,1
1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,3,0,0,2700000,7800000,14,870,5400000,5300000,5700000,2100000,0
1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,3,0,0,1400000,3800000,8,840,1700000,200000,5300000,1500000,0
1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,4,0,1,8000000,19200000,18,682,2500000,8900000,19000000,5300000,0
1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,3,0,1,8200000,28900000,10,668,23800000,4500000,28700000,10900000,0
1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,5,0,1,4800000,10300000,8,781,4800000,6800000,11100000,4300000,0
1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,4,0,0,8100000,19000000,6,375,4100000,14500000,19100000,11900000,1
1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,4,0,0,5900000,14900000,14,857,2600000,9500000,16000000,3500000,0
1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,5,0,1,8100000,32100000,6,823,18200000,1800000,24100000,6500000,0
1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,0,0,0,1400000,5000000,8,686,1800000,1900000,3200000,1500000,0
1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1,0,0,1600000,6300000,2,721,3000000,600000,5200000,900000,0
1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,4,0,0,4600000,9400000,18,545,800000,2400000,11500000,6300000,1
1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1,0,0,2900000,8900000,6,523,900000,5600000,9700000,1800000,1
1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,2,0,1,8600000,24900000,20,607,13600000,7600000,31800000,5400000,0
1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,4,0,0,3800000,14900000,20,428,6500000,3500000,12200000,2500000,1
1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,0,0,0,8200000,20300000,4,666,13100000,10200000,25900000,7800000,0
1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,3,0,0,3200000,10100000,20,704,3400000,4800000,9000000,3900000,0
1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,0,0,1,8100000,23800000,10,794,5400000,15500000,20700000,8800000,0
1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1,0,1,9800000,23300000,12,430,3200000,12600000,30500000,13900000,1
1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,0,0,0,200000,500000,20,615,500000,200000,600000,200000,0
1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,0,0,0,6600000,14100000,20,360,6800000,5100000,25400000,7800000,1
1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,0,0,0,9100000,18300000,14,458,6100000,9200000,34100000,10000000,1
1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,2,0,0,5500000,20400000,12,887,8800000,9400000,12300000,3300000,0
1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,4,0,0,7200000,27400000,8,735,14100000,14200000,19400000,9500000,0
1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1,0,0,2400000,5600000,16,379,3700000,600000,7200000,3400000,1
1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,4,0,0,9600000,25500000,20,544,4000000,11400000,23800000,11100000,1
1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1,0,1,5800000,16700000,12,721,1100000,9700000,17200000,7500000,0
1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,4,0,0,2300000,6000000,8,676,6000000,400000,4800000,2200000,0
1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1,0,0,300000,1200000,4,342,800000,100000,1100000,200000,0
1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,0,0,0,9900000,27000000,16,566,3500000,17300000,36900000,11500000,0
1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,2,0,0,3500000,14000000,2,355,8700000,1600000,11800000,2900000,0
1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,2,0,0,4800000,18500000,20,605,5700000,5500000,14700000,5800000,0
1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,2,0,0,1600000,5200000,16,525,300000,2900000,5600000,1600000,1
1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,5,0,1,800000,2500000,12,403,500000,0,3200000,800000,1
1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1,0,1,9000000,33500000,18,727,18800000,10500000,28100000,5300000,0
1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1,0,0,8300000,28900000,12,529,18300000,3900000,32500000,5800000,1
1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,4,0,0,2800000,6100000,18,415,2200000,4200000,8400000,2000000,1
1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1,0,1,6400000,17300000,10,879,10000000,1100000,15400000,8200000,0
1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,2,0,1,6000000,12600000,16,649,4800000,5300000,23900000,5100000,0
1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,0,0,0,2900000,9800000,16,395,5400000,4300000,8600000,2400000,1
1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,0,0,0,6500000,24100000,20,488,3300000,6000000,22900000,9700000,1
1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1,0,1,200000,400000,8,569,200000,200000,700000,300000,0
1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1,0,0,8400000,24600000,14,817,1800000,13100000,31300000,8200000,0
1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1,0,1,6100000,17800000,20,706,16000000,10900000,16900000,4300000,0
1146,1146,1146,1146,1146,1146,1146,1146,1146,1146,1146,1146,1146,1146,1146,1146,2,0,1,8000000,31200000,8,553,6800000,3500000,21000000,10300000,0
1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,5,0,1,900000,1800000,14,464,2300000,300000,1800000,700000,1
1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,2,0,0,7300000,20000000,6,729,13100000,10700000,17900000,9100000,0
1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,4,0,1,3700000,7400000,12,363,4800000,6800000,10500000,4400000,1
1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,2,0,0,5200000,17200000,12,565,3500000,1300000,20000000,6300000,0
1151,1151,1151,1151,1151,1151,1151,1151,1151,1151,1151,1151,1151,1151,1151,1151,1,0,0,7200000,21000000,14,421,3500000,11600000,21800000,4600000,1
1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,0,0,1,9400000,34200000,10,512,13100000,15600000,32600000,6300000,1
1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,3,0,1,3400000,12400000,2,730,2500000,3900000,12200000,4600000,0
1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,0,0,0,600000,2300000,8,627,1800000,500000,2200000,300000,0
1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,0,0,1,3300000,10000000,16,434,3000000,4100000,12900000,4100000,1
1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,2,0,1,5900000,14300000,2,410,11900000,4400000,16900000,4100000,1
1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,3,0,0,1300000,3600000,16,624,2400000,2300000,3300000,1900000,0
1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,4,0,1,5700000,16900000,4,656,13000000,7400000,22000000,8400000,0
1159,1159,1159,1159,1159,1159,1159,1159,1159,1159,1159,1159,1159,1159,1159,1159,2,0,0,7700000,27300000,16,758,7300000,4600000,24800000,9100000,0
1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,4,0,1,7000000,23500000,18,336,15000000,9500000,19700000,7800000,1
1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,5,0,0,8100000,21900000,18,378,5200000,3400000,16200000,9600000,1
1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1,0,1,1900000,4200000,4,620,4700000,2800000,7500000,900000,0
1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,2,0,0,4500000,9100000,18,593,-100000,600000,12400000,2500000,0
1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,0,0,1,9600000,34000000,12,710,23800000,10300000,38100000,7800000,0
1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1,0,1,5400000,20700000,8,753,1900000,800000,19000000,3600000,0
1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1,0,1,7800000,27200000,16,454,16100000,3400000,17100000,11400000,1
1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1,0,1,8200000,19100000,8,619,17200000,12200000,31500000,6600000,0
1168,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168,2,0,0,8900000,28500000,6,367,22200000,16600000,21500000,9300000,1
1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,1,0,0,1400000,3100000,20,384,200000,1200000,4200000,1800000,1
1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,2,0,0,1700000,5900000,16,610,3100000,300000,3700000,1300000,0
1171,1171,1171,1171,1171,1171,1171,1171,1171,1171,1171,1171,1171,1171,1171,1171,0,0,0,5300000,19500000,12,802,9800000,3300000,15200000,3200000,0
1172,1172,1172,1172,1172,1172,1172,1172,1172,1172,1172,1172,1172,1172,1172,1172,3,0,0,6500000,25200000,10,858,15400000,10900000,14000000,8100000,0
1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,2,0,0,5900000,14000000,8,599,4700000,9500000,17800000,6700000,0
1174,1174,1174,1174,1174,1174,1174,1174,1174,1174,1174,1174,1174,1174,1174,1174,4,0,1,9800000,27000000,2,395,18700000,3000000,23000000,9700000,1
1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,3,0,1,7700000,16200000,6,380,11500000,15100000,22500000,6400000,1
1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1,0,0,7900000,27100000,10,803,20000000,9800000,22200000,6600000,0
1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,4,0,0,3500000,8900000,20,809,7100000,1500000,13700000,3200000,0
1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,4,0,0,2400000,6600000,2,722,6100000,3300000,5600000,3000000,0
1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,5,0,0,9900000,35700000,10,392,7900000,4300000,39200000,13000000,1
1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,0,0,0,3900000,14500000,8,545,5900000,3000000,10300000,3400000,1
1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,2,0,1,7300000,28500000,10,799,21500000,3100000,15800000,4300000,0
1182,1182,1182,1182,1182,1182,1182,1182,1182,1182,1182,1182,1182,1182,1182,1182,0,0,1,6400000,21900000,12,727,15400000,10100000,24000000,5300000,0
1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,4,0,0,7100000,19800000,18,530,7100000,3400000,20900000,7100000,1
1184,1184,1184,1184,1184,1184,1184,1184,1184,1184,1184,1184,1184,1184,1184,1184,2,0,0,8800000,19000000,14,637,13700000,13900000,27100000,6100000,0
1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,5,0,0,7400000,21000000,4,561,21300000,3800000,26400000,3900000,0
1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,2,0,0,4400000,12000000,20,421,9300000,2700000,15700000,3400000,1
1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,3,0,1,8600000,30300000,14,459,12000000,4100000,23800000,9100000,1
1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,3,0,0,6900000,26000000,14,828,14800000,4200000,18500000,3600000,0
1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,4,0,0,9600000,27500000,20,679,23400000,7500000,37800000,6300000,0
1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190,2,0,1,8100000,25700000,8,455,22300000,11500000,19800000,9500000,1
1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,0,0,0,2600000,9400000,18,879,2800000,1400000,5100000,2300000,0
1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,3,0,1,9300000,26100000,14,636,4700000,16100000,34500000,11600000,0
1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193,2,0,1,2100000,5600000,16,426,400000,300000,7100000,1200000,1
1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,4,0,1,9000000,21500000,14,508,16600000,17300000,24300000,13100000,1
1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,3,0,1,7000000,19200000,4,768,8600000,13700000,19200000,7700000,0
1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,3,0,0,2200000,6400000,20,667,6300000,3900000,8300000,2900000,0
1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,5,0,1,7500000,28200000,2,440,8200000,5800000,24400000,6000000,0
1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1,0,1,8300000,16800000,2,366,22000000,6600000,27300000,4500000,1
1199,1199,1199,1199,1199,1199,1199,1199,1199,1199,1199,1199,1199,1199,1199,1199,2,0,0,300000,600000,2,383,600000,300000,1100000,400000,1
1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,0,0,1,300000,800000,4,603,800000,200000,600000,200000,0
1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,3,0,0,3900000,14900000,4,728,4700000,4000000,14900000,5500000,0
1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,0,0,0,6600000,20300000,6,549,10800000,900000,23100000,9800000,1
1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,0,0,0,4100000,10700000,8,855,11500000,700000,11200000,3100000,0
1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,5,0,1,1800000,5300000,12,461,2800000,2000000,4700000,2000000,1
1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,3,0,1,7000000,16100000,16,379,2000000,5200000,23000000,10000000,1
1206,1206,1206,1206,1206,1206,1206,1206,1206,1206,1206,1206,1206,1206,1206,1206,2,0,1,5100000,13700000,6,559,7800000,9800000,12700000,5100000,0
1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1,0,1,300000,600000,8,816,600000,300000,1100000,200000,0
1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,4,0,1,4300000,11400000,2,560,10000000,3900000,8900000,3300000,0
1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,0,0,1,3200000,12000000,14,645,5200000,1400000,12100000,3400000,0
1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,4,0,1,4200000,11500000,6,551,10600000,7600000,11300000,5000000,0
1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,0,0,1,9600000,22900000,8,515,4300000,14700000,33300000,7800000,1
1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,4,0,0,1300000,3600000,10,657,3200000,1900000,2900000,1100000,0
1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,3,0,0,2400000,9300000,2,682,3100000,4400000,5200000,1500000,0
1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,0,0,0,600000,1600000,10,588,1600000,100000,1100000,300000,0
1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,5,0,1,9600000,38000000,10,359,2100000,13600000,38200000,9400000,1
1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,0,0,0,400000,1200000,4,766,900000,300000,1200000,300000,0
1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,4,0,0,5900000,19900000,14,469,14200000,6800000,22100000,3200000,1
1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,0,0,1,700000,1400000,10,618,1300000,200000,1700000,500000,0
1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,0,0,1,8600000,17700000,20,711,22000000,0,30800000,7400000,0
1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,0,0,1,9000000,34000000,4,549,2000000,8900000,20000000,12400000,0
1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,3,0,1,5100000,20400000,6,754,1700000,2600000,11800000,7600000,0
1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,4,0,1,500000,1500000,6,461,1300000,500000,1700000,200000,1
1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,2,0,0,1600000,3800000,10,837,3800000,1100000,5500000,1600000,0
1224,1224,1224,1224,1224,1224,1224,1224,1224,1224,1224,1224,1224,1224,1224,1224,0,0,1,9800000,23900000,14,459,1000000,13400000,21100000,7200000,1
1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,4,0,0,7800000,29700000,20,614,22000000,700000,26800000,6300000,0
1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,4,0,0,6500000,24000000,16,373,5600000,5100000,15600000,6700000,1
1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,5,0,1,7500000,26500000,12,512,16500000,2900000,23700000,6000000,1
1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,4,0,1,8900000,23400000,18,781,16500000,3100000,24900000,5800000,0
